sequence number,RSSI,send time,content
85,-71,17:26:53,$00167#00000085#-071#1693042013844#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.40 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-68.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
86,-71,17:27:12,$00167#00000086#-071#1693042032351#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.00 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-70.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
87,-69,17:27:30,$00167#00000087#-069#1693042050848#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.00 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-68.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
88,-67,17:27:49,$00167#00000088#-067#1693042069343#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.70 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-67.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
89,-71,17:28:07,$00167#00000089#-071#1693042087831#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.10 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-70.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
90,-69,17:28:26,$00167#00000090#-069#1693042106317#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.60 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-68.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
91,-71,17:28:44,$00167#00000091#-071#1693042124801#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.10 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-69.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
92,-71,17:29:03,$00167#00000092#-071#1693042143289#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.50 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-68.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
93,-71,17:29:21,$00167#00000093#-071#1693042161787#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.40 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-69.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
94,-67,17:29:40,$00167#00000094#-067#1693042180291#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.90 RSRQ:-8.50 TAC:616 Id:20 EARFCN:3716 PWR:-67.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
95,-69,17:29:58,$00167#00000095#-069#1693042198781#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.10 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-69.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
96,-71,17:30:17,$00167#00000096#-071#1693042217279#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.30 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-69.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
97,-71,17:30:35,$00167#00000097#-071#1693042235781#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.90 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-69.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
98,-73,17:30:54,$00167#00000098#-073#1693042254282#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.20 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-67.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
99,-67,17:31:12,$00167#00000099#-067#1693042272782#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.10 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-66.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
100,-69,17:31:31,$00167#00000100#-069#1693042291283#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.20 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-69.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
